start_station_id,start_station_name,start_lat,start_lng,end_station_id,end_station_name,end_lat,end_lng
15544,Shedd Aquarium,41.86722595682,-87.6153553902,NULL,NULL,NULL,NULL
15545,Burnham Harbor,41.85741178707404,-87.61379152536392,NULL,NULL,NULL,NULL
15546,Calumet Ave & 21st St,41.85418424947,-87.6191537415,NULL,NULL,NULL,NULL
15550,Canal St & Taylor St,41.870257,-87.639474,NULL,NULL,NULL,NULL
15571,Broadway & Granville Ave,41.9947796884,-87.6602845349,NULL,NULL,NULL,NULL
15575,Broadway & Thorndale Ave,41.98974251144,-87.6601406209,NULL,NULL,NULL,NULL
15576,Lakefront Trail & Bryn Mawr Ave,41.98404411519213,-87.65228122472763,NULL,NULL,NULL,NULL
15578,Broadway & Ridge Ave,41.9840446107,-87.6602738295,NULL,NULL,NULL,NULL
15585,Budlong Woods Library,41.98366470886,-87.6964225611,NULL,NULL,NULL,NULL
15597,Halsted St & 69th St,41.76906172032,-87.6446135779,NULL,NULL,NULL,NULL
15599,Calumet Ave & 71st St,41.76550800581,-87.616917925,NULL,NULL,NULL,NULL
15615,Christiana Ave & Lawrence Ave,41.96835449363,-87.7118306675,NULL,NULL,NULL,NULL
15621,Albany Ave & Montrose Ave,41.961041,-87.705866,NULL,NULL,NULL,NULL
15623,Campbell Ave & Montrose Ave,41.961524,-87.691177,NULL,NULL,NULL,NULL
15624,Avondale Ave & Irving Park Rd,41.953393,-87.732002,NULL,NULL,NULL,NULL
15628,California Ave & Byron St,41.95216219326,-87.698051113,NULL,NULL,NULL,NULL
15631,Troy St & Elston Ave,41.94524356848,-87.7066499009,NULL,NULL,NULL,NULL
15632,Talman Ave & Addison St,41.9466358306,-87.694614758,NULL,NULL,NULL,NULL
15640,Avers Ave & Belmont Ave,41.939408,-87.723574,NULL,NULL,NULL,NULL
15642,California Ave & Fletcher St,41.93842879148,-87.698007756,NULL,NULL,NULL,NULL
15643,Kosciuszko Park,41.93058537138,-87.7237773635,NULL,NULL,NULL,NULL
15644,Central Park Ave & Elbridge Ave,41.93533728263,-87.7168892935,NULL,NULL,NULL,NULL
15645,Richmond St & Diversey Ave,41.93190196886,-87.7011951301,NULL,NULL,NULL,NULL
15646,California Ave & Altgeld St,41.92669,-87.697668,NULL,NULL,NULL,NULL
15648,Campbell Ave & Fullerton Ave,41.92463247165,-87.6893070063,NULL,NULL,NULL,NULL
15650,Spaulding Ave & Armitage Ave,41.917108034789315,-87.71022096276283,NULL,NULL,NULL,NULL
15651,Humboldt Blvd & Armitage Ave,41.91751339399,-87.7018089555,NULL,NULL,NULL,NULL
15652,Central Park Ave & North Ave,41.90965687563,-87.7166319516,NULL,NULL,NULL,NULL
15653,Troy St & North Ave,41.90976930169,-87.7052804871,NULL,NULL,NULL,NULL
15654,Spaulding Ave & Division St,41.90270659438,-87.709219571,NULL,NULL,NULL,NULL
15655,Albany Ave & Bloomingdale Ave,41.91402671273,-87.705126462,NULL,NULL,NULL,NULL
15664,Artesian Ave & Hubbard St,41.8895,-87.688257,NULL,NULL,NULL,NULL
15666,California Ave & Lake St,41.88445395657,-87.6962981368,NULL,NULL,NULL,NULL
15667,Western Ave & Monroe St,41.8797877089,-87.686112808,NULL,NULL,NULL,NULL
15667,Western Ave & Monroe St,41.88142526,-87.6866316818,NULL,NULL,NULL,NULL
15668,Western Ave & Congress Pkwy,41.87474885079,-87.6864452757,NULL,NULL,NULL,NULL
15682,Kedzie Ave & Roosevelt Rd,41.86649278172,-87.7064961757,NULL,NULL,NULL,NULL
15685,Central Park Ave & Ogden Ave,41.854063503874464,-87.71511733531952,NULL,NULL,NULL,NULL
15686,Kedzie Ave & 21st St,41.85353363213,-87.7050730318,NULL,NULL,NULL,NULL
15687,Central Park Ave & 24th St,41.8481,-87.715068,NULL,NULL,NULL,NULL
15689,California Ave & 23rd Pl,41.84910969176,-87.6951398068,NULL,NULL,NULL,NULL
15691,Albany Ave & 26th St,41.844507,-87.701655,NULL,NULL,NULL,NULL
15692,California Ave & 26th St,41.8436799145765,-87.69496858119965,NULL,NULL,NULL,NULL
16010,Keystone Ave & Fullerton Ave,41.92459,-87.72785,NULL,NULL,NULL,NULL
16806,Bosworth Ave & Howard St,42.019537,-87.669563,NULL,NULL,NULL,NULL
16903,Cicero Ave & Lake St,41.886841,-87.745261,NULL,NULL,NULL,NULL
16905,Central Ave & Lake St,41.887664,-87.765469,NULL,NULL,NULL,NULL
16906,Austin Blvd & Lake St,41.88794379427211,-87.77427345514297,NULL,NULL,NULL,NULL
16907,Central Park Blvd & 5th Ave,41.875679,-87.71547,NULL,NULL,NULL,NULL
16912,Cicero Ave & Flournoy St,41.872131,-87.746619,NULL,NULL,NULL,NULL
16913,Cicero Ave & Quincy St,41.877613,-87.745405,NULL,NULL,NULL,NULL
16915,Central Ave & Harrison St,41.872993,-87.764499,NULL,NULL,NULL,NULL
16916,Central Ave & Madison St,41.880121,-87.763238,NULL,NULL,NULL,NULL
